Date,Close,Adj Close
2016-02-01,205.759995,205.759995
2016-02-02,203.429993,203.429993
2016-02-03,191.25,191.25
2016-02-04,192.279999,192.279999
2016-02-05,108.379997,108.379997
2016-02-08,109.970001,109.970001
2016-02-09,100.980003,100.980003
2016-02-10,101.760002,101.760002
2016-02-11,103.470001,103.470001
2016-02-12,101.110001,101.110001
2016-02-16,106.0,106.0
2016-02-17,111.010002,111.010002
2016-02-18,113.459999,113.459999
2016-02-19,114.120003,114.120003
2016-02-22,116.449997,116.449997
2016-02-23,116.010002,116.010002
2016-02-24,117.699997,117.699997
2016-02-25,119.0,119.0
2016-02-26,120.910004,120.910004
2016-02-29,117.190002,117.190002
2016-03-01,116.339996,116.339996
2016-03-02,119.599998,119.599998
2016-03-03,117.029999,117.029999
2016-03-04,119.349998,119.349998
